,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,382,501,532,592,382,782,531,387,610,799,605,612,770,798,632,796,380,324,323,775
1,588,0,421,688,749,426,966,907,773,1002,919,773,796,955,807,448,980,332,437,369,783
2,452,479,0,396,464,117,763,757,764,1035,674,456,593,751,572,233,765,478,193,219,548
3,370,724,393,0,206,294,491,550,557,834,426,224,321,479,686,516,517,723,253,267,646
4,502,879,441,220,0,438,301,578,564,846,246,133,187,351,588,526,316,878,429,459,570
5,455,586,119,377,332,0,624,762,769,1059,545,339,521,677,491,250,637,584,190,217,467
6,846,1199,802,559,491,799,0,623,749,1000,219,494,341,448,597,887,227,1198,790,785,561
7,454,835,707,405,572,602,451,0,447,680,493,575,282,287,1010,825,466,834,527,540,987
8,415,479,704,482,648,585,653,355,0,382,680,652,483,642,1059,835,668,478,583,525,1036
9,596,660,867,652,818,748,851,598,356,0,903,822,681,840,1240,998,866,659,743,688,1216
10,631,983,594,343,282,591,79,469,533,785,0,286,126,290,682,679,92,982,556,569,636
11,370,747,308,279,191,305,388,673,680,954,326,0,369,533,456,393,400,745,296,316,432
12,504,856,493,201,297,467,276,449,406,658,218,294,0,258,749,638,293,855,429,442,722
13,717,1069,699,429,388,696,307,476,619,871,301,391,212,0,847,785,215,1068,642,655,812
14,696,1040,636,507,416,633,420,907,927,1222,437,328,563,727,0,686,518,1038,623,636,335
15,535,533,254,533,581,265,831,835,842,1119,752,605,712,871,639,0,843,532,277,297,616
16,806,1158,749,518,437,746,199,585,708,960,175,441,301,341,633,834,0,1157,731,744,597
17,589,1,423,689,750,427,967,908,774,1003,920,774,797,956,808,449,982,0,439,370,785
18,282,480,313,353,433,194,631,572,579,871,616,446,461,619,600,444,645,478,0,134,576
19,341,458,167,350,392,60,688,654,661,925,605,399,518,677,550,285,696,457,83,0,527
20,714,790,457,638,558,547,589,1027,1034,1314,571,463,715,879,178,437,662,789,538,564,0
