,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,4454,950,1290,2098,1707,4415,4685,2346,6145,682,1257,2566,3549,1863,2834,4026,1832,503,882
1,4306,0,5256,4308,2410,3355,1076,737,2898,2559,3976,3493,1912,2952,5637,3089,3632,5303,4334,4399
2,1300,5210,0,846,2691,2488,5171,5964,2444,7297,1275,1849,3158,4142,1900,2932,3511,1869,1096,949
3,1051,4214,1478,0,1857,2245,4176,4446,3401,5903,1749,2308,2719,3759,2908,3889,2682,2876,1046,617
4,1896,2946,2847,1900,0,909,2907,3177,2063,4647,1525,1042,1383,2422,3225,2552,4056,2869,1883,1991
5,1570,2756,2521,2344,991,0,2756,2975,1161,5315,1198,716,855,1839,2901,1645,5187,2531,1556,1934
6,4146,1701,5096,4148,2244,3155,0,2585,2730,4260,3776,3293,1744,1933,5477,2921,4618,5446,4134,4239
7,4405,1035,5356,4407,2652,3563,1865,0,3628,2328,4178,3701,2950,3990,5877,4127,2895,5846,4394,4500
8,2474,2635,2908,3247,1886,1481,2524,3372,0,5193,2101,1619,734,1718,3284,488,6267,2921,2460,2837
9,5574,2530,6524,5575,3722,4633,3710,1971,5122,0,5253,4771,4430,5469,6947,5607,3964,6916,5562,5668
10,372,4302,1323,1145,1938,1557,4263,4533,2186,5984,0,1096,2405,3388,1703,2674,3989,1672,358,736
11,855,3768,1805,1628,1368,977,3729,3999,1615,5459,482,0,1836,2819,2185,2104,4471,2154,841,1218
12,2403,1895,3353,2401,1025,1410,2288,2632,950,4454,2030,1548,0,1335,3733,1439,5527,3366,2389,2766
13,3081,3006,4031,3854,2258,2088,2562,3744,1650,5565,2709,2226,1106,0,4411,1340,6638,4037,3067,3444
14,2358,4701,2556,3131,2337,1954,4591,4934,2067,7260,1985,1503,2801,3784,0,2559,6067,1285,2344,2721
15,3306,3477,3217,4079,2728,2313,3082,4214,842,6036,2934,2451,1577,2091,2816,0,7109,2697,3292,3669
16,3039,4499,3246,2483,3832,4226,5147,4406,5220,5675,3732,4360,4646,5686,4676,5824,0,4645,3027,2599
17,1923,5315,1578,2425,2964,2572,5277,5547,2688,7021,1548,2123,3422,4406,620,3176,5089,0,1909,2286
18,519,3943,1469,788,1588,1706,3904,4175,2865,5648,1212,1776,2033,3016,2379,3154,3333,2348,0,882
19,939,4095,1360,409,1744,2126,4057,4327,3284,5785,1636,2195,2607,3647,2800,3773,3090,2769,927,0
