nombre	tipo	coords	direccion	puntaje	resenas	horarios_semana
Terminal de omnibus	Punto de Partida	{'lat': -32.9392691, 'lng': -60.6710878}	Santa Fe, Cafferata &, S2002 Rosario, Santa Fe, Argentina	4.1	1767	{'Lunes': 'Cerrado', 'Martes': 'Cerrado', 'Miércoles': [{'apertura': '09:00', 'cierre': '17:00'}], 'Jueves': 'Cerrado', 'Viernes': 'Cerrado', 'Sábado': 'Cerrado', 'Domingo': 'Cerrado'}
Los Jardines	Restaurante	{'lat': -32.934148, 'lng': -60.64332159999999}	S2000 Rosario, Santa Fe, Argentina	4.3	7415	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '09:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '09:00', 'cierre': '00:00'}]}
Parrilla Don Ferro	Restaurante	{'lat': -32.9343572, 'lng': -60.6435197}	Arturo Illia 1690, S2000 Rosario, Santa Fe, Argentina	4.4	6389	{'Lunes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:30'}], 'Martes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:30'}], 'Viernes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:30'}], 'Sábado': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:30'}], 'Domingo': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:30'}]}
Restaurante La Farola de Maipú.	Restaurante	{'lat': -32.953207, 'lng': -60.636778}	Maipú 1289, S2000 CGO, Santa Fe, Argentina	4.5	3613	{'Lunes': [{'apertura': '11:30', 'cierre': '15:15'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '11:30', 'cierre': '15:15'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '11:30', 'cierre': '15:15'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '11:30', 'cierre': '15:15'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '11:30', 'cierre': '15:15'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '11:30', 'cierre': '15:15'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Domingo': 'Cerrado'}
Bodegón La Atrevida - Conventillo de sabores	Restaurante	{'lat': -32.92549330000001, 'lng': -60.6675879}	Monteagudo 243 bis, S2000 Rosario, Santa Fe, Argentina	4.5	915	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '12:00', 'cierre': '15:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Viernes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Sábado': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:00'}]}
El Dorado - Bodegón de Río	Restaurante	{'lat': -32.9349643, 'lng': -60.6415585}	Emilio O Schiffner 1580, S2000 Rosario, Santa Fe, Argentina	4.1	2693	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '12:00', 'cierre': '16:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '16:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '16:30'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '17:00'}, {'apertura': '20:00', 'cierre': '00:30'}], 'Domingo': [{'apertura': '12:00', 'cierre': '17:00'}, {'apertura': '20:00', 'cierre': '00:00'}]}
Restaurante Doppio Zero	Restaurante	{'lat': -32.9414602, 'lng': -60.63963659999999}	Tucumán 1281, S2000 Rosario, Santa Fe, Argentina	4.3	3084	{'Lunes': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:00', 'cierre': '00:00'}]}
Riomío	Restaurante	{'lat': -32.933136, 'lng': -60.64641889999999}	ADR, Arturo Illia 1890, S2000 Rosario, Santa Fe, Argentina	4.2	17994	{'Lunes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '00:00'}]}
Trattoria Abruzzesa	Restaurante	{'lat': -32.9499011, 'lng': -60.6579029}	Santiago 1332, S2000 Rosario, Santa Fe, Argentina	4.4	834	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '03:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '03:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '01:00'}]}
"Parrilla ""La Estancia""."	Restaurante	{'lat': -32.9561207, 'lng': -60.6465385}	Av. Pellegrini 1510, S2000 Rosario, Santa Fe, Argentina	4.3	9014	{'Lunes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Martes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Viernes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Sábado': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:30'}]}
