,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,3177,3076,3408,2635,5241,4548,3385,1713,4567,3348,1358,4980,7219,5170,4062,2770,2481,3185,4207,2728
1,2749,0,1857,2245,511,4415,2888,4176,4446,3401,5903,4089,3801,5920,3996,2900,646,3692,7,2456,627
2,2050,1900,0,909,1356,2742,3206,2907,3177,2063,4647,2821,2467,4730,2650,1563,1489,4514,1907,2332,1448
3,3020,2344,991,0,2325,2404,2881,2756,2975,1161,5315,2881,1560,3823,1760,1236,1934,5836,2351,2005,2417
4,2732,542,1838,1728,0,3565,2381,4154,4424,2886,5899,4076,3290,5553,3481,2386,627,4404,549,2036,619
5,4292,3169,3464,3006,3680,0,948,5699,5986,3174,8368,5632,4098,2924,1393,2158,3216,6483,3177,1762,3995
6,4009,2586,3116,2724,2826,2220,0,5428,5699,2840,7173,5346,3768,3724,1837,1808,2438,5900,2594,935,2918
7,2756,4148,2244,3155,3605,4981,5457,0,2585,2730,4260,3069,2836,4437,4337,3814,3738,5219,4156,4583,3729
8,2331,4407,2652,3563,3865,5389,5857,1865,0,3628,2328,408,4043,6037,4745,4221,4000,3028,4414,4990,3957
9,3936,3247,1886,1481,3228,2793,3264,2524,3372,0,5193,3780,919,2657,2152,1621,2837,6400,3254,2391,3321
10,3400,5575,3722,4633,5033,6458,6927,3927,1971,5122,0,1478,5522,7580,5815,5291,5168,3510,5582,6060,5125
11,1922,3998,2243,3154,3456,4980,5449,2573,513,3741,2705,0,4147,6415,4336,3813,3591,2620,4006,4582,3549
12,4330,3641,2280,1875,3623,3690,3829,3274,3766,1437,5588,4175,0,2263,3051,2533,3232,7134,3648,3302,3715
13,6553,7290,4534,4114,5861,3035,3122,4479,5988,2627,7841,6398,2754,0,2424,3199,5470,10603,7297,3968,5954
14,5133,4011,3179,2779,4526,1698,1789,4281,5412,2040,7233,5069,2687,2084,0,1868,4135,7324,4018,2637,4836
15,3884,3206,1831,1440,3188,1179,1318,4186,4405,1563,6748,4311,2481,3160,1088,0,2797,6790,3213,1296,3280
16,2105,935,1733,2116,391,3949,2769,3527,3797,3272,5270,3449,3690,6444,3867,2770,0,4097,942,2428,483
17,2370,3408,4383,5116,2991,7011,5483,5021,2961,6047,4294,2468,6290,8515,6974,5453,3126,0,3415,5052,3084
18,2742,520,1849,2238,503,4408,2880,4168,4438,3394,5896,4082,3794,5912,3989,2893,638,3684,0,2449,620
19,3596,2435,2703,2311,2416,2043,866,5016,5286,2427,6760,4934,3355,4229,1951,1395,2025,6020,2442,0,2508
20,2671,420,1749,2138,403,4308,2780,4098,4368,3294,5825,4011,3700,5812,3889,2793,538,3614,427,2349,0
