,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,563,592,640,444,1068,866,629,389,859,612,274,827,1115,1016,771,487,496,565,818,467
1,491,0,396,464,117,861,542,757,764,674,1035,723,724,1000,824,590,148,653,1,510,110
2,410,393,0,206,294,629,657,550,557,426,834,517,487,800,579,331,301,863,394,509,303
3,542,441,220,0,438,552,559,578,564,246,846,516,286,599,387,249,360,919,442,427,447
4,495,119,377,332,0,755,461,762,769,545,1059,710,607,920,696,458,121,687,120,423,120
5,840,592,744,643,709,0,246,1078,1111,609,1394,1072,778,535,296,485,663,966,594,452,682
6,799,482,684,603,605,526,0,1072,1080,616,1360,1032,776,666,484,451,518,856,484,257,614
7,494,707,405,572,602,995,981,0,447,493,680,508,437,607,829,691,636,947,709,869,625
8,455,704,482,648,585,1072,1030,355,0,680,382,75,638,890,906,768,628,543,705,946,607
9,671,594,343,282,591,618,653,469,533,0,785,579,156,378,470,336,513,1048,595,513,600
10,636,867,652,818,748,1241,1210,598,356,903,0,251,837,1130,1076,938,791,644,868,1115,770
11,380,629,400,567,510,990,955,400,101,689,419,0,650,947,824,686,553,468,630,864,532
12,756,672,429,360,669,752,779,499,619,250,870,665,0,312,589,473,591,1150,673,651,678
13,1038,907,747,687,995,638,610,673,929,448,1188,962,420,0,454,598,918,1280,908,767,1004
14,972,724,640,551,859,391,378,822,942,409,1193,936,479,335,0,396,781,1097,725,565,814
15,739,621,390,303,618,297,325,858,825,337,1135,795,488,557,248,0,540,1080,622,298,627
16,374,177,332,405,78,818,526,641,648,610,940,589,666,969,760,520,0,726,178,478,87
17,471,525,747,834,477,1149,830,778,479,972,709,383,1010,1288,1060,891,520,0,527,798,499
18,490,116,394,463,115,860,541,756,763,672,1034,722,722,999,823,588,147,652,0,508,109
19,705,514,590,509,508,549,202,978,985,522,1266,938,682,774,493,357,430,902,516,0,517
20,478,83,370,430,91,826,508,744,751,639,1022,710,717,966,790,555,122,639,84,475,0
