,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,4,6,12,8,13,3,3,5,7,4,9,5,14,3,10,7,4,5,9,11
1,4,0,3,10,10,12,2,2,3,6,3,8,4,15,2,11,5,1,4,8,10
2,6,3,0,13,11,14,4,3,4,8,5,6,6,17,4,10,3,3,6,5,9
3,12,10,13,0,16,4,11,11,9,7,8,17,10,7,11,18,14,10,9,16,6
4,8,10,11,16,0,17,9,9,10,5,7,5,5,19,9,3,10,9,8,11,16
5,13,12,14,4,17,0,13,12,11,8,10,18,12,6,13,19,15,12,10,17,3
6,4,2,4,11,9,13,0,2,3,6,4,9,5,15,3,11,5,2,4,8,11
7,3,2,4,11,9,12,2,0,4,7,3,9,5,15,2,11,6,1,3,8,10
8,5,3,5,10,10,11,4,4,0,6,3,10,5,13,3,12,6,3,2,9,9
9,7,6,8,7,5,9,7,7,6,0,4,9,3,11,6,8,8,6,5,10,8
10,5,4,6,9,8,10,4,4,3,5,0,9,4,12,4,10,6,3,2,8,9
11,10,9,7,17,6,18,9,9,10,10,9,0,7,20,8,4,5,8,9,3,16
12,6,4,6,10,5,12,5,5,6,4,4,8,0,13,5,7,7,5,4,9,11
13,14,15,17,7,19,6,15,15,13,11,12,20,13,0,14,20,17,15,13,19,5
14,3,3,4,11,9,13,3,2,4,7,4,9,5,14,0,11,6,2,3,8,11
15,11,12,10,18,3,19,11,11,12,8,10,5,7,21,11,0,9,11,11,7,17
16,7,5,3,14,10,15,6,6,6,8,7,5,7,18,6,9,0,5,7,4,13
17,4,2,3,10,9,12,2,1,3,6,3,9,5,15,2,11,5,0,3,8,10
18,5,4,6,9,8,11,4,4,3,5,2,10,5,13,4,11,7,3,0,9,9
19,9,8,5,16,11,17,8,9,9,10,8,3,9,19,8,7,4,8,9,0,15
20,11,10,9,6,16,3,11,11,10,8,9,17,11,5,12,18,13,10,10,16,0
